epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1020.08,0.53196,0.43147,0.83855,0.94056,0.94636,0.97745,0.8502,0.5518,0.36253,0.84544,5.6795e-05,5.6795e-05,5.6795e-05
65,1035.91,0.53298,0.42972,0.83513,0.91198,0.95972,0.97894,0.84959,0.5526,0.3662,0.84634,5.476e-05,5.476e-05,5.476e-05
66,1052.05,0.52744,0.41577,0.83416,0.89096,0.97179,0.97925,0.85016,0.55666,0.36174,0.84621,5.2725e-05,5.2725e-05,5.2725e-05
67,1067.87,0.52099,0.40902,0.8345,0.95047,0.92624,0.97544,0.85009,0.55214,0.3714,0.8454,5.069e-05,5.069e-05,5.069e-05
68,1083.48,0.52857,0.41922,0.83477,0.94805,0.92174,0.97251,0.8474,0.55859,0.36985,0.84747,4.8655e-05,4.8655e-05,4.8655e-05
69,1099.24,0.52977,0.4142,0.83213,0.94499,0.92048,0.97226,0.84668,0.55126,0.37413,0.84572,4.662e-05,4.662e-05,4.662e-05
70,1115.73,0.51744,0.39888,0.83174,0.95341,0.92188,0.96194,0.83262,0.55857,0.36794,0.84753,4.4585e-05,4.4585e-05,4.4585e-05
71,1131.55,0.52536,0.40163,0.83136,0.95503,0.91484,0.97604,0.84851,0.55623,0.36927,0.84635,4.255e-05,4.255e-05,4.255e-05
72,1147.24,0.51882,0.41697,0.83292,0.9493,0.92073,0.97729,0.84842,0.55905,0.36096,0.8472,4.0515e-05,4.0515e-05,4.0515e-05
73,1163.06,0.52657,0.41428,0.83446,0.94775,0.92534,0.9635,0.83757,0.54895,0.3592,0.84512,3.848e-05,3.848e-05,3.848e-05
74,1178.81,0.5112,0.40783,0.83693,0.96133,0.92511,0.96283,0.83891,0.55374,0.36104,0.84685,3.6445e-05,3.6445e-05,3.6445e-05
75,1194.92,0.51936,0.3959,0.83285,0.95223,0.93074,0.96782,0.84178,0.55612,0.35685,0.84732,3.441e-05,3.441e-05,3.441e-05
76,1210.64,0.51962,0.40553,0.8307,0.94548,0.92796,0.96815,0.83837,0.55854,0.35862,0.84792,3.2375e-05,3.2375e-05,3.2375e-05
77,1226.38,0.51832,0.39913,0.83123,0.95951,0.91647,0.97426,0.84548,0.55519,0.35968,0.84662,3.034e-05,3.034e-05,3.034e-05
78,1242,0.51525,0.39051,0.83183,0.95415,0.92374,0.9764,0.84908,0.55511,0.35688,0.84706,2.8305e-05,2.8305e-05,2.8305e-05
79,1259.1,0.50593,0.38647,0.82676,0.92233,0.95723,0.97778,0.85096,0.553,0.3583,0.84689,2.627e-05,2.627e-05,2.627e-05
80,1275.21,0.52112,0.39773,0.83276,0.92609,0.95959,0.97804,0.85271,0.55335,0.35919,0.84619,2.4235e-05,2.4235e-05,2.4235e-05
81,1292.69,0.4834,0.33363,0.83092,0.90507,0.96449,0.97782,0.84815,0.55629,0.3646,0.84809,2.22e-05,2.22e-05,2.22e-05
82,1309.49,0.48143,0.3222,0.82742,0.93972,0.92627,0.96851,0.84142,0.55628,0.35989,0.84941,2.0165e-05,2.0165e-05,2.0165e-05
83,1326.31,0.47836,0.31517,0.82021,0.95092,0.92469,0.97313,0.84634,0.55286,0.35396,0.84758,1.813e-05,1.813e-05,1.813e-05
84,1342.33,0.48211,0.32405,0.82545,0.88584,0.96206,0.96956,0.843,0.55682,0.35602,0.84788,1.6095e-05,1.6095e-05,1.6095e-05
85,1358.39,0.47313,0.31392,0.82432,0.90497,0.96028,0.97553,0.84866,0.55395,0.35577,0.8463,1.406e-05,1.406e-05,1.406e-05
86,1374.36,0.46724,0.31108,0.82002,0.95185,0.91928,0.97733,0.84852,0.55571,0.35072,0.84655,1.2025e-05,1.2025e-05,1.2025e-05
87,1391.2,0.46777,0.30965,0.82121,0.94437,0.93009,0.97801,0.85076,0.5548,0.35093,0.84657,9.99e-06,9.99e-06,9.99e-06
88,1407.36,0.46491,0.30528,0.81284,0.94479,0.92919,0.9769,0.85031,0.55534,0.35006,0.84665,7.955e-06,7.955e-06,7.955e-06
89,1423.6,0.4657,0.31133,0.82083,0.94337,0.92376,0.97735,0.85073,0.555,0.34871,0.8463,5.92e-06,5.92e-06,5.92e-06
90,1439.73,0.46302,0.30396,0.81855,0.93712,0.92913,0.96769,0.84208,0.55393,0.3474,0.84588,3.885e-06,3.885e-06,3.885e-06
